n x y
1 7 3.41
2 0 12.64
3 1 2.15
4 0 15.10
5 7 8.00
6 1 4.30
7 3 15.18
8 1 8.54
9 3 14.92
10 1 10.84
11 7 13.09
12 2 14.49
13 6 3.41
14 2 9.61
15 3 3.83
16 7 7.32
17 2 11.23
18 8 9.89
19 2 8.99
20 5 6.23
21 3 18.43
22 3 19.39
23 5 21.23
24 1 9.19
25 4 0.66
26 0 6.74
27 4 12.21
28 8 17.57
29 3 16.53
30 7 4.53
31 5 14.08
32 4 9.45
33 3 4.81
34 2 11.05
35 0 21.50
36 4 10.65
37 1 11.34
38 0 10.23
39 7 13.61
40 7 4.22
41 2 16.15
42 7 16.83
43 1 9.87
44 7 24.02
45 2 12.02
46 2 20.17
47 4 1.36
48 2 2.22
49 1 5.98
50 5 5.07
