n A B Y
1 1 1 32.10
2 1 1 31.31
3 1 2 54.18
4 1 2 53.14
5 1 3 46.97
6 1 3 46.34
7 1 4 32.85
8 1 4 32.59
9 2 1 54.91
10 2 1 56.95
11 2 2 62.73
12 2 2 60.99
13 2 3 29.95
14 2 3 29.64
15 2 4 30.00
16 2 4 28.18
17 3 1 35.39
18 3 1 34.97
19 3 2 37.48
20 3 2 36.68
21 3 3 29.49
22 3 3 30.05
23 3 4 42.42
24 3 4 43.00
25 4 1 43.46
26 4 1 40.83
27 4 2 35.32
28 4 2 36.13
29 4 3 59.98
30 4 3 61.41
31 4 4 53.96
32 4 4 55.83
33 5 1 56.76
34 5 1 57.82
35 5 2 35.11
36 5 2 34.15
37 5 3 60.86
38 5 3 59.61
39 5 4 61.93
40 5 4 62.14
