"Variant","ID","Y","A","B","Visit"
1,1,15.9265815687737,0,2,0
1,1,12.7644943213978,0,2,1
1,1,15.1276351896865,0,2,2
1,2,8.10015824797461,1,2,0
1,2,5.83572169614731,1,2,1
1,2,1.51991244574091,1,2,2
1,3,6.60890215595659,1,2,0
1,3,3.3435612090677,1,1,1
1,3,0.984896152121317,1,2,2
1,4,9.10725936422481,1,1,0
1,4,4.44385287882372,1,1,1
1,4,2.29931390786912,1,2,2
1,5,6.79896890450472,1,1,0
1,5,9.34273091629666,1,1,1
1,5,1.28400613877097,1,1,2
1,6,7.17482202794491,1,2,0
1,6,9.07079227551214,1,1,1
1,6,1.48095241411944,1,2,2
1,7,11.0740338689747,0,2,0
1,7,11.1261721508815,0,1,1
1,7,15.2383405882852,0,1,2
1,8,13.7681678737204,0,1,0
1,8,10.1116435392904,0,2,1
1,8,4.11364511243083,0,2,2
1,9,11.3107781539673,0,2,0
1,9,10.054045567939,0,2,1
1,9,10.7993122722642,0,2,2
1,10,11.1847693076522,0,2,0
1,10,16.7274375789352,0,1,1
1,10,10.5740763536209,0,2,2
1,11,11.6800996043648,0,1,0
1,11,11.1449943826321,0,2,1
1,11,14.5351077563909,0,1,2
1,12,9.09495281537101,1,2,0
1,12,6.76954756653391,1,2,1
1,12,-0.26213762979298,1,1,2
1,13,7.70782896915363,1,2,0
1,13,6.49552569598774,1,2,1
1,13,5.28359026205067,1,1,2
1,14,4.53492727772051,1,2,0
1,14,2.65639781130494,1,1,1
1,14,4.19880691438664,1,1,2
1,15,11.7306667793722,0,2,0
1,15,10.6084168272606,0,2,1
1,15,10.9974729965368,0,2,2
1,16,8.63685507167987,0,2,0
1,16,11.057429114774,0,1,1
1,16,6.26076344060233,0,2,2
1,17,12.2759471788718,1,2,0
1,17,6.24881544758829,1,1,1
1,17,2.37323014416194,1,2,2
1,18,9.49904899815331,1,2,0
1,18,13.6859767768468,1,2,1
1,18,4.28758974851731,1,1,2
1,19,9.18613753767369,0,2,0
1,19,9.44447507607646,0,2,1
1,19,9.60926448674977,0,1,2
1,20,9.7604311804637,1,1,0
1,20,8.30247337024375,1,1,1
1,20,7.22098741263907,1,2,2
1,21,9.55707890782586,1,1,0
1,21,9.17485631801322,1,2,1
1,21,1.60036549627428,1,1,2
1,22,7.58651995379643,0,2,0
1,22,11.9436577606508,0,1,1
1,22,12.1090355695838,0,2,2
1,23,8.93890035594644,0,1,0
1,23,16.5000043188615,0,1,1
1,23,14.4689400989095,0,2,2
1,24,9.95851753610385,1,1,0
1,24,0.162655821790092,1,1,1
1,24,0.184328518101881,1,1,2
1,25,6.00298211710094,1,2,0
1,25,8.00534299839665,1,2,1
1,25,4.40164983689783,1,2,2
1,26,7.91569009398366,1,1,0
1,26,3.3238363487416,1,2,1
1,26,7.62071809613344,1,1,2
1,27,6.35853875559206,0,2,0
1,27,14.937575499068,0,2,1
1,27,10.1685854111039,0,2,2
1,28,9.58886729457744,1,1,0
1,28,5.56719230617638,1,2,1
1,28,-2.45690338875024,1,2,2
1,29,11.4990237710883,0,1,0
1,29,17.0809163063107,0,1,1
1,29,8.7669426870454,0,1,2
1,30,8.9254028788397,0,1,0
1,30,15.7189522807563,0,1,1
1,30,7.92457074724505,0,1,2
1,31,10.1957245011105,0,2,0
1,31,10.6497239317422,0,1,1
1,31,12.9754803248559,0,2,2
1,32,10.6650000699141,1,1,0
1,32,7.47435531829397,1,1,1
1,32,2.61754314009979,1,1,2
1,33,6.54530500324604,0,2,0
1,33,10.231067943768,0,2,1
1,33,8.9640835403904,0,2,2
1,34,12.8591117729106,0,1,0
1,34,13.6628131560011,0,1,1
1,34,11.9074111871659,0,1,2
1,35,15.5735052848958,0,1,0
1,35,17.3403251585234,0,1,1
1,35,11.7220314669126,0,1,2
1,36,8.10487584867943,0,2,0
1,36,12.3830575661315,0,2,1
1,36,11.1879051955512,0,1,2
1,37,12.0443699913516,0,2,0
1,37,6.88016388930316,0,1,1
1,37,4.63415125609815,0,1,2
1,38,11.4894413804977,1,1,0
1,38,6.68438506491582,1,1,1
1,38,1.32975680297279,1,2,2
1,39,12.173559132989,0,2,0
1,39,13.5298377835766,0,1,1
1,39,9.49962298667994,0,2,2
1,40,11.1298384559643,0,2,0
1,40,16.4381245156427,0,2,1
1,40,7.38315716899773,0,1,2
1,41,9.45364819520953,1,1,0
1,41,2.50845300423596,1,2,1
1,41,8.22268401341664,1,1,2
1,42,11.3594229586321,1,2,0
1,42,9.7037285914514,1,2,1
1,42,4.09047292281106,1,2,2
1,43,9.05649864395721,1,2,0
1,43,5.35414490247145,1,1,1
1,43,3.03439361498292,1,1,2
1,44,7.42038751249144,1,2,0
1,44,4.63526071767664,1,2,1
1,44,3.58101051889087,1,1,2
1,45,5.06727642018664,0,1,0
1,45,11.4543756616967,0,1,1
1,45,12.6226527257835,0,1,2
1,46,11.3931953552492,0,2,0
1,46,14.1623507800423,0,1,1
1,46,9.09918865783433,0,1,2
1,47,6.66018501429731,1,1,0
1,47,-1.56345335250445,1,2,1
1,47,4.2229118972278,1,2,2
1,48,9.81557121151078,0,1,0
1,48,14.3525963037,0,1,1
1,48,12.7880659512858,0,1,2
1,49,7.71339363471639,1,2,0
1,49,8.45684151433124,1,1,1
1,49,3.55573169823845,1,2,2
1,50,8.41828982018767,1,2,0
1,50,8.81248901527116,1,2,1
1,50,10.2331168054624,1,1,2
1,51,11.9805640898269,0,2,0
1,51,16.5995229653,0,2,1
1,51,12.004960160276,0,1,2
1,52,12.1784489375071,1,2,0
1,52,6.04229393105135,1,1,1
1,52,5.77113715614147,1,1,2
1,53,8.27991915564294,0,2,0
1,53,8.08863075687934,0,2,1
1,53,11.7697940934992,0,1,2
1,54,10.1788936536679,0,1,0
1,54,13.4030581339477,0,2,1
1,54,15.8292896634903,0,1,2
1,55,14.8979256194128,0,1,0
1,55,5.15513378524664,0,2,1
1,55,9.00233523960546,0,1,2
1,56,6.61016074937146,1,2,0
1,56,6.02787975864405,1,1,1
1,56,4.10409024808513,1,2,2
1,57,11.3063782362031,0,2,0
1,57,10.0514055456285,0,2,1
1,57,11.7424709161625,0,1,2
1,58,13.5958598120739,0,1,0
1,58,15.109251230631,0,2,1
1,58,9.41869515207462,0,2,2
1,59,11.7888479850811,0,1,0
1,59,10.6062327157448,0,2,1
1,59,7.04946442883481,0,1,2
1,60,7.56868025732584,1,1,0
1,60,4.55836547428759,1,2,1
1,60,3.34113574576556,1,1,2
1,61,11.7104955885709,0,2,0
1,61,12.1305579146419,0,1,1
1,61,10.4259940795336,0,2,2
1,62,9.69084029233668,1,2,0
1,62,7.64417938526421,1,1,1
1,62,4.4955479004383,1,1,2
